Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-03-19;Émirats Arabes Unis;140;0;31;0.00;22.14;77.86
2020-03-19;Andorre;53;0;1;0.00;1.89;98.11
2020-03-19;Afghanistan;22;0;1;0.00;4.55;95.45
2020-03-19;Antigua-et-Barbuda;1;0;0;0.00;0.00;100.00
2020-03-19;Albanie;64;2;0;3.13;0.00;96.88
2020-03-19;Arménie;115;0;1;0.00;0.87;99.13
2020-03-19;Argentine;97;3;3;3.09;3.09;93.81
2020-03-19;Autriche;2013;6;9;0.30;0.45;99.25
2020-03-19;Aruba;4;0;0;0.00;0.00;100.00
2020-03-19;Australie;681;6;26;0.88;3.82;95.30
2020-03-19;Azerbaïdjan;44;1;6;2.27;13.64;84.09
2020-03-19;Bosnie-Herzégovine;63;0;2;0.00;3.17;96.83
2020-03-19;Barbade;5;0;0;0.00;0.00;100.00
2020-03-19;Bangladesh;17;1;3;5.88;17.65;76.47
2020-03-19;Belgique;1795;21;31;1.17;1.73;97.10
2020-03-19;Burkina Faso;33;1;0;3.03;0.00;96.97
2020-03-19;Bulgarie;94;3;0;3.19;0.00;96.81
2020-03-19;Bahreïn;278;1;100;0.36;35.97;63.67
2020-03-19;Bénin;2;0;0;0.00;0.00;100.00
2020-03-19;Saint Barthélemy;3;0;0;0.00;0.00;100.00
2020-03-19;Brunéi Darussalam;75;0;0;0.00;0.00;100.00
2020-03-19;Bolivie;12;0;0;0.00;0.00;100.00
2020-03-19;Brésil;621;6;2;0.97;0.32;98.71
2020-03-19;Bahamas;0;0;0;0.00;0.00;0.00
2020-03-19;Bhoutan;1;0;0;0.00;0.00;100.00
2020-03-19;Bélarus;51;0;5;0.00;9.80;90.20
2020-03-19;Canada;800;9;9;1.13;1.13;97.75
2020-03-19;Rép. Dém. du Congo;14;0;0;0.00;0.00;100.00
2020-03-19;République Centrafricaine;1;0;0;0.00;0.00;100.00
2020-03-19;Congo (Brazzaville);3;0;0;0.00;0.00;100.00
2020-03-19;Suisse;4075;41;15;1.01;0.37;98.63
2020-03-19;Côte d'Ivoire;9;0;1;0.00;11.11;88.89
2020-03-19;Chili;238;0;0;0.00;0.00;100.00
2020-03-19;Cameroun;13;0;0;0.00;0.00;100.00
2020-03-19;Chine;80931;3245;70430;4.01;87.02;8.97
2020-03-19;Colombie;102;0;1;0.00;0.98;99.02
2020-03-19;Costa Rica;69;1;0;1.45;0.00;98.55
2020-03-19;Cuba;11;1;0;9.09;0.00;90.91
2020-03-19;Chypre;67;0;0;0.00;0.00;100.00
2020-03-19;République Tchèque;694;0;3;0.00;0.43;99.57
2020-03-19;Allemagne;15320;44;113;0.29;0.74;98.98
2020-03-19;Djibouti;1;0;0;0.00;0.00;100.00
2020-03-19;Danemark;1153;6;1;0.52;0.09;99.39
2020-03-19;République Dominicaine;34;2;0;5.88;0.00;94.12
2020-03-19;Algérie;87;9;32;10.34;36.78;52.87
2020-03-19;Équateur;199;3;0;1.51;0.00;98.49
2020-03-19;Estonie;267;0;1;0.00;0.37;99.63
2020-03-19;Égypte;256;6;32;2.34;12.50;85.16
2020-03-19;Espagne;17963;830;1107;4.62;6.16;89.22
2020-03-19;Éthiopie;6;0;0;0.00;0.00;100.00
2020-03-19;Finlande;400;0;10;0.00;2.50;97.50
2020-03-19;Fidji;1;0;0;0.00;0.00;100.00
2020-03-19;Îles Féroé;72;0;0;0.00;0.00;100.00
2020-03-19;France;10995;372;12;2.23;0.11;97.66
2020-03-19;Gabon;1;0;0;0.00;0.00;100.00
2020-03-19;Royaume-Uni;2706;138;65;5.10;2.40;92.50
2020-03-19;Géorgie;40;0;1;0.00;2.50;97.50
2020-03-19;Guyane Française;11;0;0;0.00;0.00;100.00
2020-03-19;Guernsey;0;0;0;0.00;0.00;0.00
2020-03-19;Ghana;11;0;0;0.00;0.00;100.00
2020-03-19;Gibraltar;10;0;2;0.00;20.00;80.00
2020-03-19;Groenland;0;0;0;0.00;0.00;0.00
2020-03-19;Guinée;1;0;0;0.00;0.00;100.00
2020-03-19;Guadeloupe;33;0;0;0.00;0.00;100.00
2020-03-19;Guinée Équatoriale;6;0;0;0.00;0.00;100.00
2020-03-19;Grèce;418;6;8;1.44;1.91;96.65
2020-03-19;Guatemala;9;1;0;11.11;0.00;88.89
2020-03-19;Guam;0;0;0;0.00;0.00;0.00
2020-03-19;Guyana;7;1;0;14.29;0.00;85.71
2020-03-19;Hong-Kong;208;4;95;1.92;45.67;52.40
2020-03-19;Honduras;12;0;0;0.00;0.00;100.00
2020-03-19;Croatie;105;1;5;0.95;4.76;94.29
2020-03-19;Hongrie;73;1;2;1.37;2.74;95.89
2020-03-19;Indonésie;311;25;11;8.04;3.54;88.42
2020-03-19;Irlande;557;3;5;0.54;0.90;98.56
2020-03-19;Israël;677;0;11;0.00;1.62;98.38
2020-03-19;Inde;194;4;15;2.06;7.73;90.21
2020-03-19;Iraq;192;13;43;6.77;22.40;70.83
2020-03-19;Iran;18407;1284;5710;6.98;31.02;62.00
2020-03-19;Islande;330;1;5;0.30;1.52;98.18
2020-03-19;Italie;41035;3405;4440;8.30;10.82;80.88
2020-03-19;Jersey;0;0;0;0.00;0.00;0.00
2020-03-19;Jamaïque;15;1;2;6.67;13.33;80.00
2020-03-19;Jordanie;69;0;1;0.00;1.45;98.55
2020-03-19;Japon;924;29;150;3.14;16.23;80.63
2020-03-19;Kenya;7;0;0;0.00;0.00;100.00
2020-03-19;Kirghizistan;3;0;0;0.00;0.00;100.00
2020-03-19;Cambodge;37;0;1;0.00;2.70;97.30
